City,Longitude,Latitude,Population
Bratislava,17.107362,48.147722,479389
Košice,21.250169,48.716782,223678
Prešov,21.246051,49.001436,81702
Žilina,18.736655,49.218791,80257
Nitra,18.076839,48.306085,75945
Banská Bystrica,19.149165,48.734752,73533
Trnava,17.5831,48.371006,63180
Trenčín,18.034399,48.884555,54130
Martin,18.918379,49.062108,50346
Poprad,20.295367,49.051114,48352
Prievidza,18.620816,48.77441,42429
Zvolen,19.136646,48.57561,39175
Považská Bystrica,18.442001,49.116433,36961
Nové Zámky,18.155635,47.988922,36002
Michalovce,21.916433,48.75554,35310
Spišská Nová Ves,20.562337,48.94568,34255
Komárno,18.127546,47.762932,31880
Levice,18.598457,48.217133,30556
Liptovský Mikuláš,19.614448,49.080686,29860
Bardejov,21.274357,49.293422,29788
Humenné,21.907775,48.931691,29567
Ružomberok,19.309892,49.076003,26384
Piešťany,17.827935,48.591819,26379
Lučenec,19.667498,48.327832,24661
Pezinok,17.263881,48.289463,24375
Topoľčany,18.167643,48.558102,23985
Dunajská Streda,17.621399,47.992941,22826
Trebišov,21.71594,48.629194,22780
Čadca,18.789976,49.437927,22307
Dubnica nad Váhom,18.171089,48.959834,21732
Rimavská Sobota,20.023047,48.383743,21175
Partizánske,18.370108,48.626025,20338
Vranov nad Topľou,21.681388,48.891575,20262
Senec,17.403513,48.216593,20234
Šaľa,17.873034,48.150901,19934
Brezno,19.642878,48.805596,19671
Hlohovec,17.800288,48.426421,19458
Nové Mesto nad Váhom,17.824334,48.756956,19257
Senica,17.368244,48.681649,19137
Malacky,17.018411,48.436072,18810
Snina,22.157123,48.988429,17879
Dolný Kubín,19.305123,49.211514,17540
Rožňava,20.527282,48.65784,16857
Púchov,18.320368,49.124377,16781
Žiar nad Hronom,18.854456,48.591191,16677
Bánovce nad Bebravou,18.257656,48.722982,16103
Stará Ľubovňa,20.686031,49.300646,15599
Handlová,18.759143,48.729431,15457
Skalica,17.225756,48.844733,15440
