City,Longitude,Latitude,Population
Bratislava,17.107362,48.147722,479389
Košice,21.250169,48.716782,223678
Prešov,21.246051,49.001436,81702
Žilina,18.736655,49.218791,80257
Nitra,18.076839,48.306085,75945
Banská Bystrica,19.149165,48.734752,73533
Trnava,17.5831,48.371006,63180
Trenčín,18.034399,48.884555,54130
Martin,18.918379,49.062108,50346
Poprad,20.295367,49.051114,48352
Prievidza,18.620816,48.77441,42429
Zvolen,19.136646,48.57561,39175
Považská Bystrica,18.442001,49.116433,36961
Nové Zámky,18.155635,47.988922,36002
Michalovce,21.916433,48.75554,35310
Spišská Nová Ves,20.562337,48.94568,34255
Komárno,18.127546,47.762932,31880
Levice,18.598457,48.217133,30556
Liptovský Mikuláš,19.614448,49.080686,29860
Bardejov,21.274357,49.293422,29788
Humenné,21.907775,48.931691,29567
Ružomberok,19.309892,49.076003,26384
Piešťany,17.827935,48.591819,26379
Lučenec,19.667498,48.327832,24661
Pezinok,17.263881,48.289463,24375
Topoľčany,18.167643,48.558102,23985
Dunajská Streda,17.621399,47.992941,22826
Trebišov,21.71594,48.629194,22780
Čadca,18.789976,49.437927,22307
Dubnica nad Váhom,18.171089,48.959834,21732
Rimavská Sobota,20.023047,48.383743,21175
Partizánske,18.370108,48.626025,20338
Vranov nad Topľou,21.681388,48.891575,20262
Senec,17.403513,48.216593,20234
Šaľa,17.873034,48.150901,19934
Brezno,19.642878,48.805596,19671
Hlohovec,17.800288,48.426421,19458
Nové Mesto nad Váhom,17.824334,48.756956,19257
Senica,17.368244,48.681649,19137
Malacky,17.018411,48.436072,18810
Snina,22.157123,48.988429,17879
Dolný Kubín,19.305123,49.211514,17540
Rožňava,20.527282,48.65784,16857
Púchov,18.320368,49.124377,16781
Žiar nad Hronom,18.854456,48.591191,16677
Bánovce nad Bebravou,18.257656,48.722982,16103
Stará Ľubovňa,20.686031,49.300646,15599
Handlová,18.759143,48.729431,15457
Skalica,17.225756,48.844733,15440
Galanta,17.7264,48.1889,15358
Kežmarok,20.4264,49.1336,15145
Sereď,17.722149,48.28845,15059
Kysucké Nové Mesto,18.7867,49.2983,14306
Levoča,20.5881,49.0253,13905
Šamorín,17.3117,48.0267,13672
Detva,19.4183,48.5514,13523
Stupava,17.0317,48.2747,12850
Sabinov,21.0856,49.1061,12131
Zlaté Moravce,18.3967,48.3783,11762
Bytča,18.5642,49.2242,11634
Revúca,20.1133,48.6831,10874
Holíč,17.1606,48.8122,10858
Myjava,17.5644,48.7492,10453
Kolárovo,17.967715,47.921644,10404
Moldava nad Bodvou,21.0003,48.6064,10275
Veľký Krtíš,19.3381,48.215,10274
Nová Dubnica,18.1439,48.9331,10272
Stropkov,21.6514,49.205,9683
Svidník,21.5678,49.3056,9647
Fiľakovo,19.8247,48.2683,9623
Štúrovo,18.7181,47.7992,9322
Banská Štiavnica,18.8964,48.4581,9293
Modra,17.3089,48.3317,9160
Šurany,18.1861,48.0872,9103
Tvrdošín,19.5548,49.3343,8695
Krompachy,20.8739,48.9139,8587
Sečovce,21.6567,48.7025,8538
Veľké Kapušany,22.0847,48.5503,8347
Vráble,18.3086,48.2408,8262
Stará Turá,17.6961,48.7767,8259
Veľký Meder,17.7706,47.8564,8204
Svit,20.1872,49.0658,7717
Krupina,19.069182,48.352728,7524
Vrútky,18.9183,49.1117,7397
Námestovo,19.4814,49.4028,7355
Kráľovský Chlmec,21.9728,48.4231,7322
Hurbanovo,18.1933,47.8756,7178
Veľký Šariš,21.1917,49.0383,6976
Trstená,19.591761,49.38997,6953
Liptovský Hrádok,19.7258,49.0375,6950
Hriňová,19.555377,48.605861,6931
Šahy,18.9514,48.0653,6919
Turzovka,18.6219,49.4028,6853
Nová Baňa,18.6392,48.4244,6841
Tornaľa,20.3303,48.4222,6702
Spišská Belá,20.4567,49.1858,6660
Želiezovce,18.6603,48.0486,6558
Krásno nad Kysucou,18.8322,49.3903,6506
Lipany,20.9619,49.1528,6450
Hnúšťa,19.953189,48.578704,6436
